,name_numbers,author,holding,lawyers_judge
Smart Systems Innovations LLC v Chicago Transit Authority,"['Smart Systems Innovations, LLC v. Chicago Transit Authority, 873 F.3d 1364 (2017)']","[' Wallach, Circuit']","['s: The Court of Appeals, Wallach, Circuit Judge, held that:\n\n[1] patent claims were directed to abstract ideas, and\n\n[2] claims lacked inventive concept.\n\nAffirmed.\n\nLinn, Circuit Judge, filed an opinion dissenting in part and concurring in part.\n\n']","['\n\nMARC  J.  PERNICK,  Mauriel  Kapouytian  Woods  LLP,  San  Francisco,  CA,  argued  for  plaintiff-appellant.  Also\nrepresented  by  SHERMAN  KAHN,  New  York,  NY;  WILLIAM  N.  HEBERT,  Calvo  Fisher  &  Jacob  LLP,  San\nFrancisco, CA.\n\nKRISTOPHER L. REED, Kilpatrick Townsend & Stockton LLP, Denver, CO, argued for defendants-appellees. Also\nrepresented by DAVID E. SIPIORA, JEFFREY M. CONNOR.\n\nBefore Reyna, Linn, and Wallach, Circuit Judges.\n\n']"
eDigital Corp v Futurewei Technologies Inc,"['e.Digital Corp. v. Futurewei Technologies, Inc., 772 F.3d 723 (2014)']","[' Moore, Circuit']","['s: The Court of Appeals, Moore, Circuit Judge, held that:\n\n[1]  patent  owner  was  precluded  under  doctrine  of  collateral  estoppel  from  seeking  different  claim  construction  of\npreviously construed patent, and\n\n[2] construction of patent for flash memory file system was not precluded by doctrine of collateral estoppel.\n\nAffirmed in part, reversed in part, and remanded.\n\n']","[""\n\n*724  Anton N. Handal, Handal & Associates, of San Diego, CA, argued for Plaintiff–Appellant. With him on the brief\nwas Pamela C. Chalk.\n\nJose L. Patiño, Foley & Lardner LLP, of San Diego, CA, argued for all Defendants–Appellees. With him on the brief\nfor Defendants–Appellees Futurewei Technologies, Inc., et al., were Nicola A. Pisano and Christopher C. Bolten.\n\nKevin M. O'brien, Baker & McKenzie LLP, of Washington, DC, for Defendant–Appellees Pantech Wireless, Inc., et al.\nWith him on the brief were D. James Pak, Matt Dushek and Yi Fang.\n\nHector J. Ribera, Fenwick & West LLP, of Mountain View, CA, for Defendant–Appellee GoPro, Inc. With him on the\nbrief  *725  were Michael J. Sacksteder, Carolyn Chang and Bryan A. Kohm.\n\nBefore MOORE, O'MALLEY, and REYNA, Circuit Judges.\n\n""]"
Automated Merchandising Systems Inc v Lee,"['Automated Merchandising Systems, Inc. v. Lee, 782 F.3d 1376 (2015)']","[' Taranto, Circuit']","[""s: The Court of Appeals, Taranto, Circuit Judge, held that:\n\n[1] the Court would consider the PTO's argument that its refusal to terminate reexamination was not a final agency\ndecision, and\n\n[2] the PTO's refusal to terminate inter partes reexamination of four patents was not a final agency decision.\n\nAffirmed.\n\n""]","['\n\n*1377   James  Daniel  Berquist,  Davidson  Berquist  Jackson  &  Gowdey,  LLP,  Arlington,  VA,  argued  for  plaintiff-\nappellant. Also represented by Donald Lee Jackson.\n\nMegan  Barbero,  Appellate  Staff,  Civil  Division,  United  States  Department  of  Justice,  Washington,  DC,  argued  for\ndefendant-appellee. Also represented by Mark R. Freeman, Joyce R. Branda; Nathan K. Kelley, William LaMarca, Lore\nA. Unt, Office of the Solicitor, United States Patent and Trademark Office, Alexandria, VA; Dana J. Boente, David\nMoskowitz, Office of the United States Attorney for the Eastern District of Virginia, Alexandria, VA.\n\nBefore PROST, Chief Judge, TARANTO, Circuit Judge, and FOGEL, District Judge. *\n\n']"
Millennium Pharmaceuticals Inc v Sandoz Inc,"['Millennium Pharmaceuticals, Inc. v. Sandoz Inc., 862 F.3d 1356 (2017)']","[' Newman, Circuit']","[""s: The Court of Appeals, Newman, Circuit Judge, held that:\n\n[1] patent claims were not invalid for obviousness,\n\n[2] district court's determination that lyophilizing bortezomib with mannitol to form an ester was suitable option from\nwhich prior art did not teach away was clear error.\n\nReversed-in part and remanded-in-part.\n\nVacated-in-part and remanded-in-part.\n\n""]","[""\n\nWILLIAM  F.  LEE,  Wilmer  Cutler  Pickering  Hale  and  Dorr  LLP,  Boston,  MA,  argued  for  plaintiff-appellant.\nAlso represented by MARK CHRISTOPHER FLEMING, LISA JON PIROZZOLO, JASON H. LISS, ANNA E.\nLUMELSKY, TASHA JOY BAHAL, EMILY R. WHELAN; ROBERT M. GALVIN, Palo Alto, CA.\n\nTHOMAS  J.  MELORO,  Willkie  Farr  &  Gallagher  LLP,  New  York,  NY,  argued  for  all  defendants-appellees.\nDefendant-appellee Hospira, Inc. also represented by MICHAEL JOHNSON.\n\nGEORGE C. LOMBARDI, Winston & Strawn LLP, Chicago, IL, for defendant-appellee Sandoz Inc. Also represented\nby KATHLEEN BRIDGET BARRY, MAUREEN L. RURKA.\n\nPAUL BRAIER, Greenblum & Bernstein, P.L.C., Reston, VA, for defendant-appellee Accord Healthcare, Inc. Also\nrepresented by PETER BRANKO PEJIC.\n\nGARY  EDWARD  HOOD,  Polsinelli  PC,  Chicago,  IL,  for  defendant-appellee  Actavis  LLC.  Also  represented  by\nMARK THOMAS DEMING, KHURRAM NAIK; ROBYN AST-GMOSER, St. Louis, MO.\n\nTUNG ON KONG, Rhodes Attorneys at Law P.C., San Francisco, CA, for defendants-appellees Mylan Laboratories\nLimited, Agila Specialties Inc. Also represented by ELHAM FIROUZI STEINER, Wilson, Sonsini, Goodrich & Rosati,\nPC, San Diego, CA.\n\nLOUIS HARRY WEINSTEIN, Budd Larner, P.C., Short Hills, NJ, for defendants-appellees Dr. Reddy's Laboratories,\nLtd., Dr. Reddy's Laboratories, Inc. Also represented by ELLEN TCHORNI LOWENTHAL, STUART D. SENDER.\n\nRACHEL C. HUGHEY, Merchant & Gould P.C., Minneapolis, MN, for defendants-appellees Sun Pharmaceutical\nIndustries  Limited,  Sun  Pharma  Global  FZE.  Also  represented  by  AARON  M.  JOHNSON,  CHRISTOPHER  J.\nSORENSON.\n\nWILLIAM  A.  RAKOCZY,  Rakoczy  Molino  Mazzochi  Siwik  LLP,  Chicago,  IL,  for  defendants-appellees  Apotex\nCorp.,  Apotex  Inc.  Also  represented  by  PETER  JAMES  CURTIN,  THOMAS  EHRICH,  LUKE  TIMOTHY\nSHANNON.\n\nMARK DAVID SCHUMAN, Carlson, Caspers, Vandenburgh, Lindquist & Schuman, P.A., Minneapolis, MN, for\ndefendant-appellee Teva Pharmaceuticals USA, Inc. Also represented by JENNELL CHRISTINE BILEK, SAMUEL\nT. LOCKNER, ALEXANDRA JANE OLSON, TODD S. WERNER.\n\nJAY PHILIP LESSLER, Blank Rome LLP, New York, NY, for defendants-appellees Glenmark Pharmaceuticals Ltd.,\nGlenmark  Generics  Ltd.,  Glenmark  Generics  Inc.,  USA.  Also  represented  by  CHRISTOPHER  K.  HU,  PAUL  M.\nZAGAR; DAVID ANTHONY DOREY, Wilmington, DE.\n\nKEVIN  MICHAEL  NELSON,  Duane  Morris  LLP,  Chicago,  IL,  for  defendants-appellees  Wockhardt  Bio  AG,\nWockhardt USA LLC. Also represented by PATRICK GALLAGHER.\n\nBefore Newman, Mayer, and O'Malley, Circuit Judges.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n6\n\n\x0cMillennium Pharmaceuticals, Inc. v. Sandoz Inc., 862 F.3d 1356 (2017)\n123 U.S.P.Q.2d 1329\n\n""]"
Aevoe Corp v AE Tech Co Ltd,"['Aevoe Corp. v. AE Tech Co., Ltd., 727 F.3d 1375 (2013)']","["" O'Malley, Circuit""]","[""s: The Court of Appeals, O'Malley, Circuit Judge, held that:\n\n[1] reinsertion of “colorable imitation” language into injunction did not amount to a modification upon which the Court\nof Appeals could predicate jurisdiction, and\n\n[2] addition of distributors to injunction did not amount to a modification upon which the Court of Appeals could\npredicate jurisdiction.\n\nAppeal dismissed.\n\n""]","[""\n\n*1376  David Spencer Bloch, Winston & Strawn LLP, of San Francisco, CA and Steffen N. Johnson, of Washington,\nDC, argued for plaintiff-appellee. With them on the brief were Jennifer A. Golinveaux, K. Joon Oh and Elisabeth A.\nDerby, of San Francisco, CA.\n\nLynn J. Alstadt, Buchanan Ingersoll & Rooney PC, of Pittsburgh, PA, argued for defendants-appellants. With him on\nthe brief was Steven D. Czajkowski.\n\nBefore RADER, Chief Judge, LOURIE, and O'MALLEY, Circuit Judges.\n\n""]"
Merial Ltd v Cipla Ltd,"['Merial Ltd. v. Cipla Ltd., 681 F.3d 1283 (2012)']",[],"[""s: On appeal, the Court of Appeals, Lourie, Circuit Judge, held that:\n\n[1] infringing product and newly accused product were not more than colorably different;\n\n[2] newly accused product infringed patent;\n\n[3] distributor violated injunction; and\n\n[4] district court's finding that manufacturer was in contempt was not clear error.\n\nAffirmed.\n\nSchall, Circuit Judge, filed dissenting opinion.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n1\n\n\x0cMerial Ltd. v. Cipla Ltd., 681 F.3d 1283 (2012)\n82 Fed.R.Serv.3d 959, 103 U.S.P.Q.2d 1001\n\n""]","['\n\n*1287  Gregory A. Castanias, Jones Day, of Washington, DC, argued for the plaintiffs-appellees. With him on the brief\nwere Damon M. Lewis; and J. Patrick Elsevier, of San Diego, CA. Of counsel on the brief were Judy Jarecki–Black,\nMerial Limited, of Duluth, Georgia, Frank G. Smith, III, Alston & Bird, LLP, of Atlanta, GA, and Edward Donald\nTolley, Cook, Noell, Tolley, Bates & Michael, LLP, of Athens, GA.\n\nNagendra Setty, Sheppard, Mullin, Richter & Hampton LLP, of San Francisco, CA, argued for defendant-appellant\nCipla Limited. Of counsel were Paul Wendell Garrity and Mark Edward McGrath, of New York, NY.\n\nJonathan G. Graves, Cooley LLP, of Reston, VA, argued for defendants-appellants FidoPharm, Inc., et al. With him\non the brief were Phillip E. Morton; and Tryn T. Stimart, of Washington, DC. Of counsel was Lori R. Mason, of Palo\nAlto, CA. Of counsel on the brief were George C. Lombardi, Winston & Strawn LLP, of Chicago, IL; and Elizabeth\nP. Papez, of Washington, DC.\n\nBefore LOURIE, SCHALL, and REYNA, Circuit Judges.\n\n']"
Deere And Co v Bush Hog LLC,"['Deere & Co. v. Bush Hog, LLC, 703 F.3d 1349 (2012)']","[' Rader, Chief']","['s: The Court of Appeals, Rader, Chief Judge, held that:\n\n[1] term “into engagement with” required only indirect contact;\n\n[2] invoking vitiation exclusion to doctrine of equivalents was improper in relation to term “contact”;\n\n[3] preamble phrase “rotary cutter deck” constituted patent limitation;\n\n[4] term “rotary cutter deck” referred to blade housing on power mower; and\n\n[5] terms “substantially planar” and “easily washed off” did not render claims indefinite.\n\nAffirmed in part and vacated and remanded in part.\n\n']","['\n\n*1352  Roderick R. McKelvie, Covington & Burling LLP, of Washington, DC, argued for plaintiff-appellant. With him\non the brief was R. Jason Fowler.\n\nCraig C. Martin, Jenner & Block LLP, of Chicago, IL, argued for defendant-cross appellant Bush Hog, LLC. With\nhim on the brief were Steven R. Trybus, of Chicago, IL, Matthew S. Hellman, of Washington, DC, and Elizabeth A.\nEdmondson, of New York, New York. Of counsel were Jeffrey D. Harty and Edmund J. Sease, McKee, Voorhees &\nSease, P.L.C., of Des Moines, IA.\n\nScott  R.  Brown,  Hovey  Williams  LLP,  of  Overland  Park,  KS,  argued  for  defendant-cross  appellant  Great  Plains\nManufacturing Incorporated. With him on the brief was Matthew B. Walters.\n\nBefore RADER, Chief Judge, NEWMAN and PLAGER, Circuit Judges.\n\n']"
Shire Development LLC v Watson Pharmaceuticals Inc,"['Shire Development, LLC v. Watson Pharmaceuticals, Inc., 787 F.3d 1359 (2015)']",[],"['s: On remand, the Court of Appeals, Hughes, Circuit Judge, held that:\n\n[1] term, “matrix,” meant a macroscopically homogeneous structure in all its volume, and\n\n[2] terms, “inner lipophilic matrix” and “outer hydrophilic matrix,” required two separate matrices, such that the matrices\nretained their claimed properties and were consistent with their respective Markush group limitations.\n\nReversed and remanded.\n\n']","['\n\n*1360  Edgar Haug, Frommer Lawrence & Haug LLP, New York, NY, for plaintiffs-appellees. Also represented by\nNicholas F. Giove, Jonathan Herstoff, Elizabeth Murphy, Joseph Saphia Erin A. Lawrence, Jason Aaron Lief, Caroline\nBercier, Andrew S. Wasson.\n\n*1361   Steven  Arthur  Maddox,  Maddox  Edwards,  PLLC,  Washington,  DC,  for  defendants-appellants.  Also\nrepresented by Jeremy J. Edwards; Neil Michael McCarthy, Knobbe, Martens, Olson & Bear, LLP, Washington, DC.\n\nBefore PROST, Chief Judge, CHEN *  and HUGHES, Circuit Judges.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n3\n\n\x0cShire Development, LLC v. Watson Pharmaceuticals, Inc., 787 F.3d 1359 (2015)\n114 U.S.P.Q.2d 1885\n\n']"
Intel Corp v Negotiated Data Solutions Inc,"['Intel Corp. v. Negotiated Data Solutions, Inc., 703 F.3d 1360 (2012)']",[],"[':] The Court of Appeals, Linn, Circuit Judge, held that under California law, patent licensing agreement applied\nnot only to the literally described patents and patent applications, but also to the reissue progeny of the described patents\nand patent applications.\n\nAffirmed.\n\n']","['\n\n*1361  Garland Stephens, Fish & Richardson, P.C., of Houston, TX, argued for plaintiff-appellee. With him on the\nbrief were John A. Dragseth and Deanna J. Reichel, of Minneapolis, MN.\n\nJoel L. Thollander, McKool Smith, P.C. of Austin, TX, argued for defendant-appellant. With him on the brief were\nTheodore Stevenson, III and David Sochia of Dallas, TX.\n\nBefore PROST, LINN, *  and WALLACH, Circuit Judges.\n\n']"
TwoWay Media LLC v AT And T Inc,"['Two-Way Media LLC v. AT & T, Inc., 782 F.3d 1311 (2015)']","["" O'Malley, Circuit""]","[""s: The Court of Appeals, O'Malley, Circuit Judge, held that:\n\n[1] the District Court did not abuse its discretion in denying the competitor's motion to extend the appeal period, and\n\n[2] the District Court did not abuse its discretion in denying the competitor's motion to reopen the appeals period.\n\nAffirmed.\n\nDyk, Circuit Judge, filed a dissenting opinion.\n\n""]","[""\n\n*1312  Leslie V. Payne, Heim, Payne & Chorush, LLP, Houston, TX, argued for plaintiff-appellee. Also represented\nby Michael F. Heim, Micah John Howe, Nathan J. Davis; Max Lalon Tribble, Jr., Susman Godfrey L.L.P., Houston,\nTX, Rachel S. Black, Ian B. Crosby, Parker C. Folse, III, Seattle, WA.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n2\n\n\x0cTwo-Way Media LLC v. AT & T, Inc., 782 F.3d 1311 (2015)\n91 Fed.R.Serv.3d 444, 113 U.S.P.Q.2d 1147\n\n*1313   Carter  Glasgow  Phillips,  Sidley  Austin  LLP,  Washington,  DC,  argued  for  defendants-appellants.  Also\nrepresented by Constantine L. Trela, Jr., Richard Alan Cederoth, Robert N. Hochman, Nathaniel C. Love, Chicago, IL.\n\nBefore DYK, O'MALLEY, and WALLACH, Circuit Judges.\n\n""]"
Flo Healthcare Solutions LLC v Kappos,"['Flo Healthcare Solutions, LLC v. Kappos, 697 F.3d 1367 (2012)']","[' Plager, Circuit']","['s: The Court of Appeals, Plager, Circuit Judge, held that:\n\n[1] term, “height adjustment mechanism,” reasonably imparted sufficient structure so that presumption against applying\nstatutory means-plus-function analysis was not overcome and\n\n[2] claims did not require length-adjustable vertical beam.\n\nAffirmed on other grounds.\n\nPlager, Circuit Judge, filed additional views.\n\nNewman, Circuit Judge, filed additional views.\n\n']","['\n\n*1369  George T. Schooff, Harness, Dickey & Pierce, PLC, of Troy, Michigan, argued for appellant.\n\nThomas W. Krause, Associate Solicitor, United States Patent and Trademark Office, of Alexandria, Virginia, argued\nfor appellee. With him on the brief were Raymond T. Chen, Solicitor and Amy J. Nelson, Associate Solicitor. Of counsel\nwas Kristin L.R. Sawert, Associate Solicitor.\n\nBefore NEWMAN, PLAGER, and WALLACH, Circuit Judges.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n3\n\n\x0cFlo Healthcare Solutions, LLC v. Kappos, 697 F.3d 1367 (2012)\n104 U.S.P.Q.2d 1834\n\n']"
Suprema Inc v International Trade Com'n,"[""Suprema, Inc. v. International Trade Com'n, 796 F.3d 1338 (2015)""]",[],"["":]  The  Court  of  Appeals,  Reyna,  Circuit  Judge,  held  that  ITC's  interpretation  of  statutory  provision  that\nprohibited only specified acts involving articles that infringed a patent was reasonable and entitled to Chevron deference.\n\nRemanded.\n\n""]","[""\n\n*1339  Darryl Michael Woo, Vinson & Elkins LLP, San Francisco, CA, argued for appellants. Also represented by\nIlana Rubel, Bryan Alexander Kohm, David Michael Lacy Kusters, Heather N. Mewes, Erin Simon, Fenwick & West,\nLLP, San Francisco, CA; Jae Won Song, Mountain View, CA; Bradley Thomas Meissner, Seattle, WA.\n\nClark  S.  Cheney,  Office  of  the  General  Counsel,  United  States  International  Trade  Commission,  Washington,  DC,\nargued  for  appellee.  Also  represented  by  Dominic  L.  Bianchi,  Andrea  C.  Casson,  Clint  A.  Gerdine,  Wayne  W.\nHerrington.\n\nMaximilian A. Grant, Latham & Watkins LLP, Washington, DC, argued for intervenor. Also represented by Clement\nJ. Naples, New York, N.Y.; Gabriel Bell, Bert C. Reiser, Jennifer Halbleib, Washington, DC.\n\nMark R. Freeman, Appellate Staff, Civil Division, United States Department of Justice, Washington, DC, argued for\namicus curiae United States. Also represented by Joyce R. Branda, Scott R. McIntosh.\n\nJames  Altman,  Foster,  Murphy,  Altman  &  Nickel,  PC,  Washington,  DC,  for  amicus  curiae  American  Intellectual\nProperty Law Association. Also represented by F. David Foster.\n\nJ. Michael Jakes, Finnegan, Henderson, Farabow, Garrett & Dunner, LLP, Washington  *1340  DC, for amicus curiae\nIntellectual Property Owners Association. Also represented by Herbert Clare Wamsley, Jr., Intellectual Property Owners\nAssociation, Washington, DC; Philip Staton Johnson, Johnson & Johnson, New Brunswick, NJ; Kevin H. Rhodes, 3M\nInnovative Properties Company, St. Paul, MN.\n\nConstantine L. Trela, Jr., Sidley Austin LLP, Chicago, IL, for amicus curiae Microsoft Corporation. Also represented\nby Richard Alan Cederoth, David T. Pritikin, Chicago, IL; Brian R. Nester, Ryan C. Morris, Washington, DC; Thomas\nAndrew Culbert, David E. Killough, Microsoft Corporation, Redmond, WA.\n\nJohn Thorne, Kellogg, Huber, Hansen, Todd, Evans & Figel, PLLC, Washington, DC, for amici curiae Dell Inc., Adobe\nSystems, Inc., Ford Motor Co., Hewlett–Packard Co., LG Display Co., Ltd., LG Electronics, Inc., Netflix, Inc., Samsung\nElectronics Co., Ltd., SAP America, Inc. Also represented by Aaron M. Panner, Melanie L. Bostwick.\n\nDaryl  Joseffer,  King  &  Spalding  LLP,  Washington,  DC,  for  amicus  curiae  Google  Inc.  Also  represented  by  Adam\nConrad, Charlotte, NC; Suzanne Michel, Google Inc., Washington, DC.\n\nEric  Jay  Fues,  Finnegan,  Henderson,  Farabow,  Garrett  &  Dunner,  LLP,  Washington,  DC,  for  amicus  curiae\nInternational Trade Commission Trial Lawyers Association. Also represented by T. CY walker, Kenyon & Kenyon\nLLP, Washington, DC.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n2\n\n\x0cSuprema, Inc. v. International Trade Com'n, 796 F.3d 1338 (2015)\n37 ITRD 1877, 116 U.S.P.Q.2d 1177\n\nJohn  D.  Haynes,  Alston  &  Bird  LLP,  Atlanta,  GA,  for  amici  curiae  Nokia  Corporation,  Nokia  USA,  Inc.  Also\nrepresented by Adam David Swain, Washington, DC.\n\nBefore PROST, Chief Judge, NEWMAN, LOURIE, DYK, O'MALLEY, REYNA, WALLACH, TARANTO, CHEN,\nand HUGHES, Circuit Judges. *\n\n""]"
Apex Frozen Foods Private Limited v United States,"['Apex Frozen Foods Private Limited v. United States, 862 F.3d 1322 (2017)']","[' Clevenger, Circuit']","[""s: The Court of Appeals, Clevenger, Circuit Judge, held that:\n\n[1] Commerce's decision to compare exporter's dumping margins calculated by using average-to-transactional (A–T)\nmethod with zeroing and average-to-average (A–A) method without zeroing was reasonable;\n\n[2] Court of International Trade did not abuse its discretion in dismissing for failure to exhaust administrative remedies\nexporter's claim that Commerce improperly compared A–A and A–T rates across all of its sales;\n\n[3] Commerce did not act arbitrarily or capriciously in treating antidumping duties that were less than 0.5 percent as\nde minimis;\n\n[4] Commerce's use of A–T methodology in calculating antidumping margin was reasonable;\n\n[5] regulation did not require Commerce to limit application of A-T method; and\n\n[6] Commerce's use of zeroing coextensively with its use of A–T methodology was reasonable.\n\nAffirmed.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n1\n\n\x0cApex Frozen Foods Private Limited v. United States, 862 F.3d 1322 (2017)\n38 ITRD 2356\n\n""]","['\n\nROBERT  L.  LAFRANKIE,  Crowell  &  Moring,  LLP,  Washington,  DC,  argued  for  plaintiffs-appellants.  Also\nrepresented by MATTHEW R. NICELY, Hughes Hubbard & Reed LLP, Washington, DC.\n\nJOSHUA  E.  KURLAND,  Commercial  Litigation  Branch,  Civil  Division,  United  States  Department  of  Justice,\nWashington, DC, argued for defendant-appellee United States. Also represented by BENJAMIN C. MIZER, JEANNE\nE. DAVIDSON, PATRICIA M. MCCARTHY; SCOTT DANIEL MCBRIDE, HENRY JOSEPH LOYER, United\nStates Department of Commerce, Washington, DC.\n\nPHILIP ANDREW BUTLER, Stewart & Stewart, Washington, DC, argued for defendant-appellee American Shrimp\nProcessors Association. Also represented by ELIZABETH DRAKE, TERENCE PATRICK STEWART, WILLIAM\nALFRED FENNELL; EDWARD T. HAYES, Leake & Andersson, L.L.P., New Orleans, LA.\n\nNATHANIEL RICKARD, Picard Kentz & Rowe LLP, Washington, DC, for defendant-appellee Ad Hoc Shrimp Trade\nAction Committee. Also represented by ROOP BHATTI, DAVID ALBERT YOCIS, WHITNEY MARIE ROLIG.\n\nBefore Newman, Clevenger, and Taranto, Circuit Judges.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n4\n\n\x0cApex Frozen Foods Private Limited v. United States, 862 F.3d 1322 (2017)\n38 ITRD 2356\n\n']"
Power Integrations Inc v Lee,"['Power Integrations, Inc. v. Lee, 797 F.3d 1318 (2015)']",[],"[':] The Court of Appeals, Mayer, Circuit Judge, held that the Board failed to provide an adequate predicate upon\nwhich the Court could evaluate its decision to reject claims of a patent as anticipated by prior art.\n\nDecision of the Board of Patent Appeals and Interferences vacated and remanded.\n\n']","['\n\n*1320   Howard  G.  Pollack,  Fish  &  Richardson,  P.C.,  Redwood  City,  CA,  argued  for  plaintiff-appellant.  Also\nrepresented by Michael R. Headley; Craig E. Countryman, San Diego, CA; Frank Scherkenbach, Boston, MA.\n\nAmy  J.  Nelson,  Office  of  the  Solicitor,  United  States  Patent  and  Trademark  Office,  Alexandria,  VA,  argued  for\ndefendant-appellee. Also represented by Nathan K. Kelley, Scott Weidenfeller.\n\nBefore MOORE, MAYER, and LINN, Circuit Judges.\n\n']"
RT Foods Inc v US,"['R.T. Foods, Inc. v. U.S., 757 F.3d 1349 (2014)']",[],"[':] The Court of Appeals, Wallach, Circuit Judge, held that entries were classifiable under HTSUS provision for\nprepared mixed vegetables.\n\nAffirmed.\n\n']","['\n\n*1351  Peter S. Herrick, Peter S. Herrick, P.A., of Miami, Florida, argued for plaintiff-appellant.\n\nBeverly  A.  Farrell,  Trial  Attorney,  International  Trade  Field  Office,  Commercial  Litigation  Branch,  Civil  Division,\nUnited States Department of Justice, of New York, New York, argued for defendant-appellee. With her on the brief\nwere Stuart F. Delery, Assistant Attorney General, Jeanne E. Davidson, Director, and Amy M. Rubin, Acting Assistant\nDirector.\n\nBefore DYK, CLEVENGER, and WALLACH, Circuit Judges.\n\n']"
PSC VSMPOAvisma Corp v US,"['PSC VSMPO-Avisma Corp. v. U.S., 688 F.3d 751 (2012)']","[' Schall, Circuit']","[""s: The Court of Appeals, Schall, Circuit Judge, held that:\n\n[1] affidavit of third-party accounting expert, submitted to provide further evidentiary support for importer's arguments,\nconstituted new factual information;\n\n[2] power of Department of Commerce to apply its own procedures for timely resolution of antidumping reviews could\nnot be usurped by courts on basis that case may have presented issue of first impression;\n\n[3] importer had not been deprived of due process right to notice and meaningful opportunity to be heard by exclusion\nof untimely affidavit of third-party accounting expert; and\n\n[4] substantial evidence supported choice of accounting methodology by Department of Commerce.\n\nReversed and remanded.\n\n""]","['\n\n*753  Mark P. Lunn, Arent Fox LLP, of Washington, DC, argued for plaintiffs-cross appellants. With him on the brief\nwere John M. Gurley and Diana Dimitric Quaia.\n\nRenee Gerber, Trial Attorney, Commercial Litigation Branch, Civil Division, United States Department of Justice, of\nWashington, DC, argued for defendant-appellee. With her on the brief were Tony West, Assistant Attorney General,\nJeanne E. Davidson, Director, and Claudia Burke, Assistant Director.\n\nJeffrey M. Telep, King & Spalding LLP, of Washington, DC, argued for defendant-appellant. With him on the brief\nwere Stephen A. Jones and Jeffrey B. Denning.\n\nBefore PROST, SCHALL, and REYNA, Circuit Judges.\n\n']"
Galderma Laboratories LP v Tolmar Inc,"['Galderma Laboratories, L.P. v. Tolmar, Inc., 737 F.3d 731 (2013)']",[],"[':] The Court of Appeals, Prost, Circuit Judge, held that the patents, which taught use of active ingredient at\n0.3% concentration, were invalid as obvious in light of prior art that disclosed preferred range of 0.01%–1% for that\ningredient, with same inactive ingredients.\n\nReversed.\n\nNewman, Circuit Judge, filed dissenting opinion.\n\n']","['\n\n*734  Charles E. Lipsey, Finnegan, Henderson, Farabow, Garrett & Dunner, LLP, of Reston, VA, argued for plaintiffs-\nappellees. With him on the brief were Howard W. Levine, Sanya Sukduang, Cortney B. Casp, and Victoria S. Lee, of\nWashington, DC.\n\nThomas P. Steindler, McDermott Will & Emery LLP, of Washington, DC, argued for defendant-appellant. With him\non the brief were Jeffrey R. Gargano and Keith M. Stolte, of Chicago, IL.\n\nBefore NEWMAN, BRYSON, and PROST, Circuit Judges.\n\n']"
Minkin v Gibbons PC,"['Minkin v. Gibbons, P.C., 680 F.3d 1341 (2012)']",[],"["":] The Court of Appeals, Reyna, Circuit Judge, held that patent attorney was not liable for legal malpractice\nin  case  under  a  suit-within-a-suit  framework  where  inventor  failed  to  introduce  evidence  sufficient  to  establish  the\nnonobviousness of the proposed alternate claims, which attorney failed to include in application written and prosecuted\nby attorney.\n\nAffirmed.\n\nO'Malley, Circuit Judge, filed opinion concurring in the result.\n\n""]","[""\n\n*1342  Patrick T. Collins, Franzblau Dratch, of Livingston, NJ, argued for plaintiffs-appellants.\n\nStephen R. Long, Drinker Biddle & Reath, LLP, of Florham Park, NJ, argued for defendant-appellee. With him on the\nbrief was Stacey A. Hyman.\n\nBefore RADER, Chief Judge, O'MALLEY and REYNA, Circuit Judges.\n\n""]"
International Custom Products Inc v US,"['International Custom Products, Inc. v. U.S., 791 F.3d 1329 (2015)']","[' Lourie, Circuit']","[""s: The Court of Appeals, Lourie, Circuit Judge, held that:\n\n[1] importer lacked due process protected interest in classification of its entries of white sauce as sauces rather than dairy\nspreads, and thus due process was not violated by reclassification of white sauce as dairy spread, and\n\n[2] Court of International Trade lacked jurisdiction over importer's claim that Customs and Border Protection acted\nultra vires when it reclassified importer's entries of white sauce.\n\nAffirmed.\n\n""]","[""\n\n*1331  Gregory Hugh Teufel, OGC Law, LLC, Pittsburgh, PA, argued for plaintiff-appellant. Also represented by\nJeremy L. Samek, Eckert, Seamans, Cherin, & Mellott LLC, Pittsburgh, PA.\n\nReginald  Thomas  Blades,  Jr.,  Commercial  Litigation  Branch,  Civil  Division,  United  States  Department  of  Justice,\nWashington, DC, argued for defendant-appellee. Also represented by Joyce R. Branda, Jeanne E. Davidson, Martin M.\nTomlinson; Edward Francis Kenny, Amy Rubin, International  *1332  Trade Field Office, New York, NY.\n\nJohn Michael Peterson, Neville Peterson LLP, New York, NY, for amicus curiae The American Association of Exporters\nand Importers. Also represented by Richard F. O'Neill, Russell Andrew Semmel.\n\nBefore LOURIE, BRYSON, and CHEN, Circuit Judges.\n\n""]"
